index,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntregularprods,mntgoldprods,mnttotal,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,age,customer_days,marital_status,education,response,total_spending,mntwines_share,mntfruits_share,mntmeatproducts_share,mntfishproducts_share,mntsweetproducts_share,mntgoldprods_share,total_purchases,avg_ticket_proxy,web_purchase_share,catalog_purchase_share,store_purchase_share,deal_purchase_share,web_visit_to_purchase_ratio,children_total,family_size_proxy,customer_segment,customer_segment_name
1001,58138,0,0,58,635,88,546,172,88,1441,88,1529,3,8,10,4,7,0,63,2822,Single,Graduation,0,1617,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299,22,73.5,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.13636363636363635,0.7777777777777778,0,1,0,High-income potential customers
1002,46344,1,1,38,11,1,6,2,1,15,6,21,2,1,1,2,5,0,66,2272,Single,Graduation,0,27,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,4,6.75,0.25,0.25,0.5,0.5,2.5,2,3,1,Balanced customers
1003,71613,0,0,26,426,49,127,111,21,692,42,734,1,8,2,10,4,0,55,2471,Together,Graduation,0,776,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,20,38.8,0.4,0.1,0.5,0.05,0.4444444444444444,0,1,0,High-income potential customers
1004,26646,1,0,26,11,4,20,10,3,43,5,48,2,2,0,4,6,0,36,2298,Together,Graduation,0,53,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,6,8.833333333333334,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,2.0,1,2,2,Promotion-sensitive customers
1005,58293,1,0,94,173,43,118,46,27,392,15,407,5,5,3,6,5,0,39,2320,Married,PHD,0,422,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,14,30.142857142857142,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.8333333333333334,1,2,1,Balanced customers
1006,62513,0,1,16,520,42,98,0,42,688,14,702,2,6,4,10,6,0,53,2452,Together,Master,0,716,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,20,35.8,0.3,0.2,0.5,0.1,0.8571428571428571,1,2,1,Balanced customers
1007,55635,0,1,34,235,65,164,50,49,536,27,563,4,7,3,7,6,0,49,2752,Divorced,Graduation,0,590,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,17,34.705882352941174,0.4117647058823529,0.17647058823529413,0.4117647058823529,0.23529411764705882,0.75,1,2,0,High-income potential customers
1008,33454,1,0,32,76,10,56,3,1,123,23,146,2,4,0,4,8,0,35,2576,Married,PHD,0,169,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,8,21.125,0.5,0.0,0.5,0.25,1.6,1,2,1,Balanced customers
1009,30351,1,0,19,14,0,24,3,3,42,2,44,1,3,0,2,9,0,46,2547,Together,PHD,0,46,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,5,9.2,0.6,0.0,0.4,0.2,2.25,1,2,2,Promotion-sensitive customers
1010,5648,1,1,68,28,0,6,1,1,23,13,36,1,1,0,0,20,0,70,2267,Together,PHD,1,49,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796,1,49.0,1.0,0.0,0.0,1.0,10.0,2,3,1,Balanced customers
1011,7500,0,0,59,6,16,11,11,1,29,16,45,1,2,0,3,8,0,44,2752,Married,Basic,0,61,0.09836065573770492,0.26229508196721313,0.18032786885245902,0.18032786885245902,0.01639344262295082,0.26229508196721313,5,12.2,0.4,0.0,0.6,0.2,2.6666666666666665,0,1,2,Promotion-sensitive customers
1012,63033,0,0,82,194,61,480,225,112,1042,30,1072,1,3,4,8,2,0,61,2385,Divorced,Graduation,0,1102,0.17604355716878403,0.05535390199637023,0.4355716878402904,0.20417422867513613,0.10163339382940109,0.02722323049001815,15,73.46666666666667,0.2,0.26666666666666666,0.5333333333333333,0.06666666666666667,0.5,0,1,0,High-income potential customers
1013,59354,1,1,53,233,2,53,3,5,282,14,296,3,6,1,5,6,0,68,2385,Divorced,Master,0,310,0.7516129032258064,0.0064516129032258064,0.17096774193548386,0.00967741935483871,0.016129032258064516,0.04516129032258064,12,25.833333333333332,0.5,0.08333333333333333,0.4166666666666667,0.25,0.8571428571428571,2,3,1,Balanced customers
1014,17323,0,0,38,3,14,17,6,1,36,5,41,1,1,0,3,8,0,33,2786,Married,Graduation,0,46,0.06521739130434782,0.30434782608695654,0.3695652173913043,0.13043478260869565,0.021739130434782608,0.10869565217391304,4,11.5,0.25,0.0,0.75,0.25,4.0,0,1,2,Promotion-sensitive customers
1015,82800,0,0,23,1006,22,115,59,68,1225,45,1270,1,7,6,12,3,0,74,2741,Single,PHD,1,1315,0.7650190114068441,0.016730038022813688,0.08745247148288973,0.044866920152091254,0.05171102661596958,0.034220532319391636,25,52.6,0.28,0.24,0.48,0.04,0.375,0,1,0,High-income potential customers
1016,41850,1,1,51,53,5,19,2,13,88,4,92,3,3,0,3,8,0,40,2711,Married,Graduation,0,96,0.5520833333333334,0.052083333333333336,0.19791666666666666,0.020833333333333332,0.13541666666666666,0.041666666666666664,6,16.0,0.5,0.0,0.5,0.5,2.0,2,3,1,Balanced customers
1017,37760,0,0,20,84,5,38,150,12,261,28,289,2,4,1,6,7,0,74,2826,Together,Graduation,0,317,0.26498422712933756,0.015772870662460567,0.11987381703470032,0.47318611987381703,0.03785488958990536,0.08832807570977919,11,28.818181818181817,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.18181818181818182,1.4,0,1,2,Promotion-sensitive customers
1018,76995,0,1,91,1012,80,498,0,16,1430,176,1606,2,11,4,9,5,0,71,2617,Married,Master,1,1782,0.5679012345679012,0.04489337822671156,0.27946127946127947,0.0,0.008978675645342313,0.09876543209876543,24,74.25,0.4583333333333333,0.16666666666666666,0.375,0.08333333333333333,0.4166666666666667,1,2,0,High-income potential customers
1019,33812,1,0,86,4,17,19,30,24,55,39,94,2,2,1,3,6,0,35,2762,Single,2n Cycle,0,133,0.03007518796992481,0.12781954887218044,0.14285714285714285,0.22556390977443608,0.18045112781954886,0.2932330827067669,6,22.166666666666668,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,2.0,1,2,2,Promotion-sensitive customers
1020,37040,0,0,41,86,2,73,69,38,220,48,268,1,4,2,5,8,0,38,2849,Married,Graduation,0,316,0.2721518987341772,0.006329113924050633,0.2310126582278481,0.21835443037974683,0.12025316455696203,0.1518987341772152,11,28.727272727272727,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.09090909090909091,1.6,0,1,2,Promotion-sensitive customers
1021,2447,1,0,42,1,1,1725,1,1,1728,1,1729,15,0,28,0,1,0,41,2698,Married,Graduation,0,1730,0.0005780346820809249,0.0005780346820809249,0.9971098265895953,0.0005780346820809249,0.0005780346820809249,0.0005780346820809249,28,61.785714285714285,0.0,1.0,0.0,0.5357142857142857,1.0,1,2,0,High-income potential customers
1022,58607,0,1,63,867,0,86,0,0,934,19,953,3,2,3,9,8,0,71,2712,Married,PHD,1,972,0.8919753086419753,0.0,0.08847736625514403,0.0,0.0,0.01954732510288066,14,69.42857142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429,0.21428571428571427,2.6666666666666665,1,2,1,Balanced customers
1023,65324,0,1,0,384,0,102,21,32,534,5,539,3,6,2,9,4,0,66,2328,Married,PHD,0,544,0.7058823529411765,0.0,0.1875,0.03860294117647059,0.058823529411764705,0.009191176470588236,17,32.0,0.35294117647058826,0.11764705882352941,0.5294117647058824,0.17647058823529413,0.5714285714285714,1,2,1,Balanced customers
1024,40689,0,1,69,270,3,27,39,6,246,99,345,7,7,1,5,8,0,69,2627,Together,Graduation,0,444,0.6081081081081081,0.006756756756756757,0.060810810810810814,0.08783783783783784,0.013513513513513514,0.22297297297297297,13,34.15384615384615,0.5384615384615384,0.07692307692307693,0.38461538461538464,0.5384615384615384,1.0,1,2,1,Balanced customers
1025,18589,0,0,89,6,4,25,15,12,49,13,62,2,2,1,3,7,0,51,2702,Single,Graduation,0,75,0.08,0.05333333333333334,0.3333333333333333,0.2,0.16,0.17333333333333334,6,12.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,2.3333333333333335,0,1,2,Promotion-sensitive customers
1026,53359,1,1,4,173,4,30,3,6,175,41,216,4,5,1,4,7,0,44,2557,Married,Graduation,0,257,0.6731517509727627,0.01556420233463035,0.11673151750972763,0.011673151750972763,0.023346303501945526,0.15953307392996108,10,25.7,0.5,0.1,0.4,0.4,1.1666666666666667,2,3,1,Balanced customers
1027,38360,1,0,26,36,2,42,20,21,111,10,121,2,2,1,4,3,0,31,2553,Married,Graduation,0,131,0.2748091603053435,0.015267175572519083,0.32061068702290074,0.15267175572519084,0.16030534351145037,0.07633587786259542,7,18.714285714285715,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.0,1,2,2,Promotion-sensitive customers
1028,84618,0,0,96,684,100,801,21,66,1672,0,1672,1,6,9,10,2,0,55,2378,Married,PHD,1,1672,0.4090909090909091,0.05980861244019139,0.47906698564593303,0.012559808612440191,0.039473684210526314,0.0,25,66.88,0.24,0.36,0.4,0.04,0.2857142857142857,0,1,0,High-income potential customers
1029,10979,0,0,34,8,4,10,2,2,22,4,26,2,3,0,3,5,0,31,2197,Divorced,Master,0,30,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,6,5.0,0.5,0.0,0.5,0.3333333333333333,1.25,0,1,2,Promotion-sensitive customers
1030,38620,0,0,56,112,17,44,34,22,140,89,229,1,2,5,3,3,0,57,2573,Together,Master,0,318,0.3522012578616352,0.05345911949685535,0.13836477987421383,0.1069182389937107,0.06918238993710692,0.279874213836478,10,31.8,0.2,0.5,0.3,0.1,1.0,0,1,0,High-income potential customers
1031,40548,0,1,31,110,0,5,2,0,114,3,117,2,2,1,4,5,0,50,2786,Together,Graduation,1,120,0.9166666666666666,0.0,0.041666666666666664,0.016666666666666666,0.0,0.025,7,17.142857142857142,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.6666666666666667,1,2,1,Balanced customers
1032,46610,0,2,8,96,12,96,33,22,216,43,259,6,4,1,6,6,0,68,2767,Divorced,PHD,0,302,0.31788079470198677,0.039735099337748346,0.31788079470198677,0.10927152317880795,0.0728476821192053,0.1423841059602649,11,27.454545454545453,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.5454545454545454,1.2,2,3,1,Balanced customers
1033,68657,0,0,4,482,34,471,119,68,1152,22,1174,1,3,5,9,7,0,74,2653,Married,Master,0,1196,0.40301003344481606,0.028428093645484948,0.39381270903010035,0.09949832775919733,0.056856187290969896,0.01839464882943144,17,70.3529411764706,0.17647058823529413,0.29411764705882354,0.5294117647058824,0.058823529411764705,1.75,0,1,0,High-income potential customers
1034,49389,1,1,55,40,0,19,2,1,59,3,62,1,2,0,3,7,0,69,2463,Single,Master,0,65,0.6153846153846154,0.0,0.2923076923076923,0.03076923076923077,0.015384615384615385,0.046153846153846156,5,13.0,0.4,0.0,0.6,0.2,2.3333333333333335,2,3,1,Balanced customers
1035,67353,0,1,37,702,17,151,0,8,843,35,878,5,5,6,12,2,0,50,2339,Married,PHD,0,913,0.768893756845564,0.018619934282584884,0.16538882803943045,0.0,0.008762322015334063,0.038335158817086525,23,39.69565217391305,0.21739130434782608,0.2608695652173913,0.5217391304347826,0.21739130434782608,0.3333333333333333,1,2,0,High-income potential customers
